impl,weights,backends,table,disruption,ideal,excess,peak_to_mean,min_to_mean,cv,build_us,update_us,cycles_per_lookup,ins_per_lookup,ns_per_lookup
katran-maglev-v2,equal,64,65537,0.020414,0.015570,0.004844,1.0230,0.9852,0.0072,1223.2,1229.9,7.98,8.00,1.55
katran-maglev,equal,64,16381,0.025796,0.015672,0.010123,1.0150,0.9751,0.0088,270.7,275.7,8.06,8.00,1.52
katran-maglev-v2,equal,64,16381,0.025796,0.015672,0.010123,1.0150,0.9751,0.0088,267.2,268.4,8.09,8.00,1.55
katran-maglev,equal,64,4093,0.037502,0.015622,0.021880,1.0139,0.9758,0.0077,59.5,58.2,8.01,8.00,1.53
katran-maglev-v2,equal,64,4093,0.037502,0.015622,0.021880,1.0139,0.9758,0.0077,60.0,71.8,8.02,8.00,1.55
katran-maglev,skewed,64,65537,0.020401,0.015548,0.004853,1.0227,0.9832,0.0074,1288.2,1215.2,7.98,8.00,1.53
katran-maglev-v2,skewed,64,65537,0.010345,0.006222,0.004123,1.6123,0.3897,0.4474,1449.7,1362.2,8.06,8.00,1.56
anchorhash,equal,64,64,0.015603,0.015603,0.000000,1.0168,0.9829,0.0070,0.8,0.0,7.19,34.00,1.44
dpvs-conhash,equal,64,160,0.015864,0.015864,0.000000,1.2180,0.8403,0.0878,4191.9,56.8,1060.60,2315.77,206.13
dpvs-conhash,skewed,64,160,0.006239,0.006239,0.000000,1.7193,0.3447,0.4406,11601.0,64.2,1227.96,2325.86,240.08
katran-maglev,equal,128,65537,0.013611,0.007782,0.005829,1.0340,0.9713,0.0111,1225.3,1231.4,8.05,8.00,1.49
katran-maglev-v2,equal,128,65537,0.013611,0.007782,0.005829,1.0340,0.9713,0.0111,1226.7,1222.1,7.99,8.00,1.61
katran-maglev,equal,128,16381,0.020118,0.007840,0.012279,1.0298,0.9697,0.0117,267.7,276.7,8.09,8.00,1.66
katran-maglev-v2,equal,128,16381,0.020118,0.007840,0.012279,1.0298,0.9697,0.0117,279.8,277.1,8.02,8.00,1.56
katran-maglev,equal,128,4093,0.035812,0.007783,0.028029,1.0204,0.9590,0.0116,65.7,54.7,8.00,8.00,1.53
katran-maglev-v2,equal,128,4093,0.035812,0.007783,0.028029,1.0204,0.9590,0.0116,65.2,51.0,8.01,8.00,1.52
katran-maglev,skewed,128,65537,0.013539,0.007759,0.005780,1.0348,0.9701,0.0114,1304.4,1306.2,7.98,8.00,1.53
katran-maglev-v2,skewed,128,65537,0.008246,0.003108,0.005137,1.6315,0.3848,0.4476,1245.5,1307.6,7.96,8.00,1.50
anchorhash,equal,128,128,0.007778,0.007778,0.000000,1.0258,0.9768,0.0100,0.8,0.1,7.10,34.00,1.37
dpvs-conhash,equal,128,160,0.007523,0.007523,0.000000,1.2594,0.8010,0.0796,8540.0,65.4,1236.67,2323.37,240.82
dpvs-conhash,skewed,128,160,0.003177,0.003177,0.000000,1.7681,0.3406,0.4491,24863.4,61.1,1604.77,2333.55,304.40
